Date Time, Water Level, Sigma, O, F, R, L, Quality 
2017-01-01 23:54,0.194,0.030,0,0,0,0,v
2017-01-02 00:00,0.272,0.039,0,0,0,0,v
2017-01-02 00:06,0.348,0.043,0,0,0,0,v
2017-01-02 00:12,0.390,0.036,0,0,0,0,v
2017-01-02 00:18,0.390,0.036,0,0,0,0,v
2017-01-02 00:24,0.459,0.033,0,0,0,0,v
2017-01-02 00:30,0.522,0.039,0,0,0,0,v
2017-01-02 00:36,0.551,0.036,0,0,0,0,v
2017-01-02 00:42,0.620,0.033,0,0,0,0,v
2017-01-02 00:48,0.607,0.030,0,0,0,0,v
2017-01-02 00:54,0.709,0.030,0,0,0,0,v
2017-01-02 01:00,0.771,0.030,0,0,0,0,v
2017-01-02 01:06,0.797,0.026,0,0,0,0,v
2017-01-02 01:12,0.846,0.033,0,0,0,0,v
2017-01-02 01:18,0.876,0.036,0,0,0,0,v
2017-01-02 01:24,0.994,0.030,0,0,0,0,v
2017-01-02 01:30,1.007,0.033,0,0,0,0,v
2017-01-02 01:36,1.017,0.030,0,0,0,0,v
2017-01-02 01:42,1.122,0.033,0,0,0,0,v
2017-01-02 01:48,1.214,0.026,0,0,0,0,v
2017-01-02 01:54,1.247,0.030,0,0,0,0,v
2017-01-02 02:00,1.230,0.026,0,0,0,0,v
2017-01-02 02:06,1.345,0.033,0,0,0,0,v
2017-01-02 02:12,1.385,0.020,0,0,0,0,v
2017-01-02 02:18,1.440,0.016,0,0,0,0,v
2017-01-02 02:24,1.493,0.026,0,0,0,0,v
2017-01-02 02:30,1.549,0.026,0,0,0,0,v
2017-01-02 02:36,1.601,0.023,0,0,0,0,v
2017-01-02 02:42,1.647,0.026,0,0,0,0,v
2017-01-02 02:48,1.745,0.030,0,0,0,0,v
2017-01-02 02:54,1.749,0.026,0,0,0,0,v
2017-01-02 03:00,1.765,0.020,0,0,0,0,v
2017-01-02 03:06,1.841,0.026,0,0,0,0,v
2017-01-02 03:12,1.962,0.020,0,0,0,0,v
2017-01-02 03:18,1.896,0.020,0,0,0,0,v
2017-01-02 03:24,1.959,0.023,0,0,0,0,v
2017-01-02 03:30,2.011,0.023,0,0,0,0,v
2017-01-02 03:36,2.014,0.020,0,0,0,0,v
2017-01-02 03:42,2.070,0.023,0,0,0,0,v
2017-01-02 03:48,2.018,0.026,0,0,0,0,v
2017-01-02 03:54,2.073,0.023,0,0,0,0,v
2017-01-02 04:00,2.096,0.026,0,0,0,0,v
2017-01-02 04:06,2.100,0.026,0,0,0,0,v
2017-01-02 04:12,2.073,0.020,0,0,0,0,v
2017-01-02 04:18,2.113,0.026,0,0,0,0,v
2017-01-02 04:24,2.093,0.023,0,0,0,0,v
2017-01-02 04:30,2.011,0.026,0,0,0,0,v
2017-01-02 04:36,2.126,0.020,0,0,0,0,v
2017-01-02 04:42,2.060,0.030,0,0,0,0,v
2017-01-02 04:48,1.965,0.016,0,0,0,0,v
2017-01-02 04:54,2.001,0.020,0,0,0,0,v
2017-01-02 05:00,2.090,0.026,0,0,0,0,v
2017-01-02 05:06,1.883,0.020,0,0,0,0,v
2017-01-02 05:12,1.926,0.023,0,0,0,0,v
2017-01-02 05:18,1.965,0.020,0,0,0,0,v
2017-01-02 05:24,1.864,0.026,0,0,0,0,v
2017-01-02 05:30,1.778,0.020,0,0,0,0,v
2017-01-02 05:36,1.877,0.023,0,0,0,0,v
2017-01-02 05:42,1.778,0.020,0,0,0,0,v
2017-01-02 05:48,1.726,0.020,0,0,0,0,v
2017-01-02 05:54,1.677,0.020,0,0,0,0,v
2017-01-02 06:00,1.742,0.023,0,0,0,0,v
2017-01-02 06:06,1.601,0.023,0,0,0,0,v
2017-01-02 06:12,1.588,0.020,0,0,0,0,v
2017-01-02 06:18,1.634,0.020,0,0,0,0,v
2017-01-02 06:24,1.529,0.020,0,0,0,0,v
2017-01-02 06:30,1.496,0.026,0,0,0,0,v
2017-01-02 06:36,1.493,0.023,0,0,0,0,v
2017-01-02 06:42,1.539,0.023,0,0,0,0,v
2017-01-02 06:48,1.362,0.026,0,0,0,0,v
2017-01-02 06:54,1.424,0.030,0,0,0,0,v
2017-01-02 07:00,1.512,0.026,0,0,0,0,v
2017-01-02 07:06,1.293,0.030,0,0,0,0,v
2017-01-02 07:12,1.355,0.026,0,0,0,0,v
2017-01-02 07:18,1.391,0.026,0,0,0,0,v
2017-01-02 07:24,1.299,0.030,0,0,0,0,v
2017-01-02 07:30,1.194,0.023,0,0,0,0,v
2017-01-02 07:36,1.293,0.023,0,0,0,0,v
2017-01-02 07:42,1.220,0.023,0,0,0,0,v
2017-01-02 07:48,1.125,0.020,0,0,0,0,v
2017-01-02 07:54,1.152,0.016,0,0,0,0,v
2017-01-02 08:00,1.181,0.020,0,0,0,0,v
2017-01-02 08:06,0.991,0.033,0,0,0,0,v
2017-01-02 08:12,1.001,0.030,0,0,0,0,v
2017-01-02 08:18,1.060,0.016,0,0,0,0,v
2017-01-02 08:24,0.932,0.023,0,0,0,0,v
2017-01-02 08:30,0.883,0.013,0,0,0,0,v
2017-01-02 08:36,0.850,0.016,0,0,0,0,v
2017-01-02 08:42,0.922,0.013,0,0,0,0,v
2017-01-02 08:48,0.794,0.016,0,0,0,0,v
2017-01-02 08:54,0.768,0.016,0,0,0,0,v
2017-01-02 09:00,0.797,0.016,0,0,0,0,v
2017-01-02 09:06,0.702,0.030,0,0,0,0,v
2017-01-02 09:12,0.643,0.023,0,0,0,0,v
2017-01-02 09:18,0.732,0.016,0,0,0,0,v
2017-01-02 09:24,0.673,0.016,0,0,0,0,v
2017-01-02 09:30,0.574,0.020,0,0,0,0,v
2017-01-02 09:36,0.591,0.020,0,0,0,0,v
2017-01-02 09:42,0.686,0.016,0,0,0,0,v
2017-01-02 09:48,0.581,0.020,0,0,0,0,v
2017-01-02 09:54,0.564,0.023,0,0,0,0,v
2017-01-02 10:00,0.591,0.016,0,0,0,0,v
2017-01-02 10:06,0.591,0.020,0,0,0,0,v
2017-01-02 10:12,0.505,0.020,0,0,0,0,v
2017-01-02 10:18,0.646,0.023,0,0,0,0,v
2017-01-02 10:24,0.614,0.033,0,0,0,0,v
2017-01-02 10:30,0.574,0.020,0,0,0,0,v
2017-01-02 10:36,0.600,0.016,0,0,0,0,v
2017-01-02 10:42,0.630,0.026,0,0,0,0,v
2017-01-02 10:48,0.528,0.030,0,0,0,0,v
2017-01-02 10:54,0.686,0.016,0,0,0,0,v
2017-01-02 11:00,0.525,0.030,0,0,0,0,v
2017-01-02 11:06,0.682,0.023,0,0,0,0,v
2017-01-02 11:12,0.600,0.023,0,0,0,0,v
2017-01-02 11:18,0.636,0.016,0,0,0,0,v
2017-01-02 11:24,0.702,0.023,0,0,0,0,v
2017-01-02 11:30,0.682,0.020,0,0,0,0,v
2017-01-02 11:36,0.715,0.030,0,0,0,0,v
2017-01-02 11:42,0.738,0.023,0,0,0,0,v
2017-01-02 11:48,0.771,0.023,0,0,0,0,v
2017-01-02 11:54,0.758,0.020,0,0,0,0,v
2017-01-02 12:00,0.892,0.016,0,0,0,0,v
2017-01-02 12:06,0.889,0.020,0,0,0,0,v
2017-01-02 12:12,0.853,0.016,0,0,0,0,v
2017-01-02 12:18,0.961,0.020,0,0,0,0,v
2017-01-02 12:24,1.096,0.010,0,0,0,0,v
2017-01-02 12:30,0.971,0.013,0,0,0,0,v
2017-01-02 12:36,1.148,0.043,0,0,0,0,v
2017-01-02 12:42,1.171,0.033,0,0,0,0,v
2017-01-02 12:48,1.086,0.023,0,0,0,0,v
2017-01-02 12:54,1.234,0.023,0,0,0,0,v
2017-01-02 13:00,1.325,0.013,0,0,0,0,v
2017-01-02 13:06,1.217,0.026,0,0,0,0,v
2017-01-02 13:12,1.358,0.016,0,0,0,0,v
2017-01-02 13:18,1.368,0.023,0,0,0,0,v
2017-01-02 13:24,1.398,0.020,0,0,0,0,v
2017-01-02 13:30,1.480,0.030,0,0,0,0,v
2017-01-02 13:36,1.434,0.020,0,0,0,0,v
2017-01-02 13:42,1.578,0.016,0,0,0,0,v
2017-01-02 13:48,1.631,0.020,0,0,0,0,v
2017-01-02 13:54,1.598,0.016,0,0,0,0,v
2017-01-02 14:00,1.693,0.030,0,0,0,0,v
2017-01-02 14:06,1.749,0.016,0,0,0,0,v
2017-01-02 14:12,1.765,0.020,0,0,0,0,v
2017-01-02 14:18,1.847,0.026,0,0,0,0,v
2017-01-02 14:24,1.857,0.020,0,0,0,0,v
2017-01-02 14:30,1.870,0.013,0,0,0,0,v
2017-01-02 14:36,1.913,0.023,0,0,0,0,v
2017-01-02 14:42,1.864,0.023,0,0,0,0,v
2017-01-02 14:48,2.064,0.023,0,0,0,0,v
2017-01-02 14:54,1.942,0.023,0,0,0,0,v
2017-01-02 15:00,2.024,0.023,0,0,0,0,v
2017-01-02 15:06,2.087,0.023,0,0,0,0,v
2017-01-02 15:12,2.201,0.023,0,0,0,0,v
2017-01-02 15:18,2.100,0.033,0,0,0,0,v
2017-01-02 15:24,2.287,0.016,0,0,0,0,v
2017-01-02 15:30,2.244,0.026,0,0,0,0,v
2017-01-02 15:36,2.310,0.020,0,0,0,0,v
2017-01-02 15:42,2.336,0.030,0,0,0,0,v
2017-01-02 15:48,2.385,0.043,0,0,0,0,v
2017-01-02 15:54,2.349,0.026,0,0,0,0,v
2017-01-02 16:00,2.349,0.030,0,0,0,0,v
2017-01-02 16:06,2.349,0.023,0,0,0,0,v
2017-01-02 16:12,2.365,0.030,0,0,0,0,v
2017-01-02 16:18,2.402,0.036,0,0,0,0,v
2017-01-02 16:24,2.352,0.026,0,0,0,0,v
2017-01-02 16:30,2.333,0.023,0,0,0,0,v
2017-01-02 16:36,2.365,0.023,0,0,0,0,v
2017-01-02 16:42,2.283,0.020,0,0,0,0,v
2017-01-02 16:48,2.365,0.020,0,0,0,0,v
2017-01-02 16:54,2.320,0.026,0,0,0,0,v
2017-01-02 17:00,2.277,0.030,0,0,0,0,v
2017-01-02 17:06,2.293,0.026,0,0,0,0,v
2017-01-02 17:12,2.215,0.026,0,0,0,0,v
2017-01-02 17:18,2.297,0.020,0,0,0,0,v
2017-01-02 17:24,2.211,0.023,0,0,0,0,v
2017-01-02 17:30,2.041,0.020,0,0,0,0,v
2017-01-02 17:36,2.178,0.023,0,0,0,0,v
2017-01-02 17:42,2.116,0.026,0,0,0,0,v
2017-01-02 17:48,1.991,0.023,0,0,0,0,v
2017-01-02 17:54,1.978,0.023,0,0,0,0,v
2017-01-02 18:00,1.923,0.033,0,0,0,0,v
2017-01-02 18:06,1.831,0.026,0,0,0,0,v
2017-01-02 18:12,1.844,0.023,0,0,0,0,v
2017-01-02 18:18,1.788,0.026,0,0,0,0,v
2017-01-02 18:24,1.677,0.030,0,0,0,0,v
2017-01-02 18:30,1.663,0.023,0,0,0,0,v
2017-01-02 18:36,1.598,0.020,0,0,0,0,v
2017-01-02 18:42,1.532,0.030,0,0,0,0,v
2017-01-02 18:48,1.476,0.033,0,0,0,0,v
